Song,Artist,First_Week
Violeta,IZ*ONE,2022-01-07
Dun Dun Dance,OH MY GIRL,2022-01-07
Remember Me,OH MY GIRL,2022-01-07
Banana allergy monkey,OH MY GIRL BANHANA,2022-01-07
Secret Garden,OH MY GIRL,2022-01-07
Coloring Book,OH MY GIRL,2022-01-07
You Never Know,BLACKPINK,2022-01-07
Perfect 10,Red Velvet,2022-01-07
BREAKTHROUGH - Korean Version,TWICE,2022-01-07
D-1,Loona,2022-01-07
ODD Front,LOOΠΔ / ODD EYE CIRCLE,2022-01-07
Starlight,LOOΠΔ / ODD EYE CIRCLE,2022-01-07
Girl Front,LOOΠΔ / ODD EYE CIRCLE,2022-01-07
Uncover,LOOΠΔ / ODD EYE CIRCLE,2022-01-07
ADD,LOOΠΔ / ODD EYE CIRCLE,2022-01-07
Puzzle,Loona,2022-01-07
Singing In The Rain,Loona,2022-01-07
Twilight,Loona,2022-01-07
Candy Boy,TWICE,2022-01-07
Truth,TWICE,2022-01-07
Going Crazy,TWICE,2022-01-07
Do It Again,TWICE,2022-01-07
Don't Give Up,TWICE,2022-01-07
LOVE LINE,TWICE,2022-01-07
ROLLIN',TWICE,2022-01-07
Look at Me,TWICE,2022-01-07
24/7,TWICE,2022-01-07
DING DONG,TWICE,2022-01-07
FFW,TWICE,2022-01-07
WOW,TWICE,2022-01-07
MISSING U,TWICE,2022-01-07
True Love (feat. Lily Allen),P!nk,2022-01-07
Miss Kita Pag Tuesday,RJ Jimenez,2022-01-07
Forever's Not Enough,Sarah Geronimo,2022-01-07
Sana,Up Dharma Down,2022-01-07
High,Barbie Almalbis,2022-01-07
Jeepney,Sponge Cola,2022-01-07
Bukas Na Lang Kita Mamahalin,Lani Misalucha,2022-01-07
The Way You Look At Me,Christian Bautista,2022-01-07
Sundo,Imago,2022-01-07
We Belong,Toni Gonzaga,2022-01-07
Kung Ako Na Lang Sana,Bituin Escalante,2022-01-07
Hanggang Ngayon,Kyla,2022-01-07
Akin Ka Na Lang,The Itchyworms,2022-01-07
Narda,Kamikazee,2022-01-07
Sandalan,6CycleMind,2022-01-07
Huwag Na Huwag Mong Sasabihin - Version 2,Kitchie Nadal,2022-01-07
Hawak Kamay,Yeng Constantino,2022-01-07
Pangako,Regine Velasquez,2022-01-07
Pagdating ng Panahon,Aiza Seguerra,2022-01-07
Someday,Nina,2022-01-07
Rainbow,South Border,2022-01-07
Ikaw Lamang,Silent Sanctuary,2022-01-07
Prinsesa,6CycleMind,2022-01-07
Oo,Up Dharma Down,2022-01-07
nobela,Join the Club,2022-01-07
Migraine,Moonstar88,2022-01-07
I'll Never Go,Erik Santos,2022-01-07
Tell Me Where It Hurts,MYMP,2022-01-07
Stars,Callalily,2022-01-07
The Day You Said Goodnight,Hale,2022-01-07
Gitara,Parokya Ni Edgar,2022-01-07
All I Want for Christmas Is You,Mariah Carey,2022-01-07
double take,dhruv,2022-01-07
Here's Your Perfect,Jamie Miller,2022-01-07
I Love You So,The Walters,2022-01-07
Nangangamba,Zack Tabudlo,2022-01-07
My Universe,Coldplay,2022-01-07
Habang Buhay,Zack Tabudlo,2022-01-07
Pagsamo,Arthur Nery,2022-01-07
Pano,Zack Tabudlo,2022-01-07
Smokin Out The Window,Bruno Mars,2022-01-07
Odd Eye,Dreamcatcher,2022-01-07
HOME;RUN,Seventeen,2022-01-07
Siren,SUNMI,2022-01-07
Clap Your Hands (박수쳐),2NE1,2022-01-07
What Makes You Beautiful,One Direction,2022-01-14
Ligaya,Eraserheads,2022-01-14
Stronger (What Doesn't Kill You),Kelly Clarkson,2022-01-14
Beautiful Soul,Jesse McCartney,2022-01-14
Bakit Nga Ba Mahal Kita,Roselle Nava,2022-01-14
Halik Sa Hangin - From The Killer Bride,KZ Tandingan,2022-01-14
Stickwitu,The Pussycat Dolls,2022-01-14
Tadhana,Up Dharma Down,2022-01-14
Because of You,Kelly Clarkson,2022-01-14
I Like Me Better,Lauv,2022-01-14
Pretty Boy,M2M,2022-01-14
Take a Bow,Rihanna,2022-01-14
2002,Anne-Marie,2022-01-14
Starving,Hailee Steinfeld,2022-01-14
Bang Bang,Jessie J,2022-01-14
Night Changes,One Direction,2022-01-14
HULA HOOP,Loona,2022-01-21
All I Want,Olivia Rodrigo,2022-01-28
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,2022-01-28
Coffee,Jack Stauber's Micropop,2022-01-28
What Else Can I Do?,Diane Guerrero,2022-01-28
Surface Pressure,Jessica Darrow,2022-01-28
The Family Madrigal,Stephanie Beatriz,2022-01-28
Anything You Can Do,Bernadette Peters,2022-01-28
Lonely,2NE1,2022-01-28
Funeral,Phoebe Bridgers,2022-02-04
I Heart ?,Taylor Swift,2022-02-04
Beautiful Eyes,Taylor Swift,2022-02-04
놓아 놓아 놓아 Letting Go,DAY6,2022-02-04
Dance the Night Away,TWICE,2022-02-04
Lullaby,GOT7,2022-02-04
딱 좋아(Just right),GOT7,2022-02-04
RBB (Really Bad Boy),Red Velvet,2022-02-04
Hate You,2NE1,2022-02-04
하지하지마 Stop stop it,GOT7,2022-02-04
Literal Legend,miss ayesha,2022-02-04
Dumb Dumb,Red Velvet,2022-02-04
Sunny Summer,GFRIEND,2022-02-04
DUMDi DUMDi,(G)I-DLE,2022-02-04
PLAYING WITH FIRE,BLACKPINK,2022-02-04
반드시 웃는다 I Smile,DAY6,2022-02-04
After School,Weeekly,2022-02-04
You Are,GOT7,2022-02-04
어떻게 말해 How Can I Say,DAY6,2022-02-04
Thumbs Up,MOMOLAND,2022-02-04
Bloom Bloom,THE BOYZ,2022-02-04
Piano Man,MAMAMOO,2022-02-04
Lil’ Touch,Girls' Generation-Oh!GG,2022-02-04
Hot Summer,f(x),2022-02-04
Time for the moon night,GFRIEND,2022-02-04
Everyday I Love You,Loona,2022-02-11
Merry & Happy,TWICE,2022-02-11
SIGNAL,TWICE,2022-02-11
Rock n Roll,Avril Lavigne,2022-02-11
UNNATURAL,WJSN,2022-02-18
WA DA DA,Kep1er,2022-02-18
Not Friends (Sung by HeeJin Kim Lip JinSoul Yves) (Prod. RYAN JHUN),Loona,2022-02-18
I'm So Pretty,Nature,2022-02-18
OOPSIE (My Bad),Nature,2022-02-18
Talk to Me,Red Velvet,2022-02-18
Hug U,DIA,2022-02-18
ME,CLC,2022-02-18
Hobgoblin,CLC,2022-02-18
Devil,CLC,2022-02-18
Helicopter,CLC,2022-02-18
Butterfly,WJSN,2022-02-18
As you Wish,WJSN,2022-02-18
La La Love,WJSN,2022-02-18
Save Me Save You,WJSN,2022-02-18
I Wish,WJSN,2022-02-18
Roller Coaster,CHUNG HA,2022-02-18
No,CLC,2022-02-25
MAVERICK,THE BOYZ,2022-02-25
NEKKOYA (PICK ME),PRODUCE 48,2022-02-25
Pantomime,WJSN,2022-03-04
Luckitty-cat,WJSN,2022-03-04
BeBe,WJSN,2022-03-04
GingaMingaYo (the strange world),Billlie,2022-03-04
Hero's Soup,Stray Kids,2022-03-04
I WANT YOU BACK,TWICE,2022-03-04
YOUTH,Troye Sivan,2022-03-04
Everybody (Backstreet's Back),Backstreet Boys,2022-03-04
Sometimes,Britney Spears,2022-03-04
FIRST,Everglow,2022-03-04
MIXTAPE#3,Stray Kids,2022-03-04
Zig Zag,Weeekly,2022-03-11
Be Honest,Loona,2022-03-11
Solar,Weeekly,2022-03-11
Hmph!,WJSN CHOCOME,2022-03-11
One More Time,TWICE,2022-03-11
행복 (Happiness),Red Velvet,2022-03-11
KNOCK KNOCK,TWICE,2022-03-11
ViViD,Loona,2022-03-11
Wake Me Up,TWICE,2022-03-11
You and Me Together,LOOΠΔ 1/3,2022-03-11
Lady's Room,Red Velvet,2022-03-11
Power Up,Red Velvet,2022-03-11
Let Me In,WJSN,2022-03-18
Love O'Clock,WJSN,2022-03-18
R.o.S.E BLUE (Prod. ESTi),Dreamcatcher,2022-03-18
Over the Sky,Dreamcatcher,2022-03-18
YOU AND I,Dreamcatcher,2022-03-18
Full Moon,Dreamcatcher,2022-03-18
Fly high,Dreamcatcher,2022-03-18
Dreams Come True (Chinese Ver.),WJSN,2022-03-18
Thawing,WJSN,2022-03-18
Starry Moment,WJSN,2022-03-18
Renaissance,WJSN,2022-03-18
Don’t Touch,WJSN,2022-03-18
Full Moon,WJSN,2022-03-18
BADABOOM,WJSN,2022-03-18
WW,WJSN,2022-03-18
LIGHTS UP,WJSN,2022-03-18
Our Garden,WJSN,2022-03-18
Tra-la,WJSN,2022-03-18
Where You Are,WJSN,2022-03-18
HOLA,WJSN,2022-03-18
소년 소녀,Loona,2022-03-18
다녀가요,Loona,2022-03-18
The Best Thing I Ever Did,TWICE,2022-03-18
TT,TWICE,2022-03-18
I Wanna Be With You,Mandy Moore,2022-03-18
In My Dreams,Red Velvet,2022-03-25
I Don't Do Drugs (feat. Ariana Grande),Doja Cat,2022-03-25
&,Loona,2022-03-25
Need to Know,Doja Cat,2022-03-25
Get Into It (Yuh),Doja Cat,2022-03-25
Payday (feat. Young Thug),Doja Cat,2022-03-25
Naked,Doja Cat,2022-03-25
Woman,Doja Cat,2022-03-25
Dance on My Own,Loona,2022-03-25
WOW,Loona,2022-03-25
Catch Me,WJSN,2022-03-25
Space Cowgirl,WJSN,2022-03-25
get well soon,Ariana Grande,2022-03-25
Why Why (feat. Gunna),Doja Cat,2022-03-25
Ride,Doja Cat,2022-03-25
Tonight (feat. Eve),Doja Cat,2022-03-25
Up and Down,Doja Cat,2022-03-25
You Right - Extended,Doja Cat,2022-03-25
off the table (with The Weeknd),Ariana Grande,2022-03-25
motive (with Doja Cat),Ariana Grande,2022-03-25
34+35,Ariana Grande,2022-03-25
shut up,Ariana Grande,2022-03-25
in my head,Ariana Grande,2022-03-25
O.O,NMIXX,2022-04-01
My Headphones On,TWICE,2022-04-01
Colors,IZ*ONE,2022-04-01
Touchdown,TWICE,2022-04-01
Woohoo,TWICE,2022-04-01
Among Us in Real Life,Rebecca Zamolo,2022-04-01
September - Recorded at The Tracking Room Nashville,Taylor Swift,2022-04-01
Love Him I Don’t,Maisie Peters,2022-04-01
Outdoor Pool,Maisie Peters,2022-04-01
John Hughes Movie,Maisie Peters,2022-04-01
I’m Trying (Not Friends),Maisie Peters,2022-04-01
You Signed Up For This,Maisie Peters,2022-04-01
SOMEONE LIKE ME,TWICE,2022-04-01
Feel My Rhythm,Red Velvet,2022-04-01
Boy,Maisie Peters,2022-04-01
Tuk Tok,TWICE,2022-04-01
Precious Love,TWICE,2022-04-01
Real Women Vote,The Deplorable Choir,2022-04-01
EYE EYE EYES,TWICE,2022-04-01
Tough Act,Maisie Peters,2022-04-01
Volcano,Maisie Peters,2022-04-01
Talking To Strangers,Maisie Peters,2022-04-01
Elvis Song,Maisie Peters,2022-04-01
Brooklyn,Maisie Peters,2022-04-01
Villain,Maisie Peters,2022-04-01
TOMBOY,(G)I-DLE,2022-04-08
Sick Of Losing Soulmates,dodie,2022-04-08
Psycho,Maisie Peters,2022-04-08
BAMBOLEO,Red Velvet,2022-04-08
Absolutely Smitten,dodie,2022-04-08
I Have A Hole In My Tooth (And My Dentist is Shut),dodie,2022-04-08
Intertwined,dodie,2022-04-08
When - Live,dodie,2022-04-08
Good Bad Ugly,Red Velvet,2022-04-08
Beg for Me,Red Velvet,2022-04-08
Death by a Thousand Cuts - Live from Paris,Taylor Swift,2022-04-08
A World Alone,Lorde,2022-04-08
White Teeth Teens,Lorde,2022-04-08
Still Sane,Lorde,2022-04-08
Glory and Gore,Lorde,2022-04-08
Team,Lorde,2022-04-08
No More Sad Songs (feat. Machine Gun Kelly),Little Mix,2022-04-08
Butterfly,Mariah Carey,2022-04-08
Shake It Off,Mariah Carey,2022-04-08
When I Look at You,Miley Cyrus,2022-04-08
party tattoos,dodie,2022-04-08
I Know Places (Voice Memo),Taylor Swift,2022-04-08
TANK,NMIXX,2022-04-15
Heartbreak Anthem (feat. David Guetta & Little Mix),Galantis,2022-04-15
Trash,Little Mix,2022-04-15
Cut You Off,Little Mix,2022-04-15
Reggaetón Lento (Remix),CNCO,2022-04-15
Secret Love Song Pt. II,Little Mix,2022-04-15
Between Us,Little Mix,2022-04-15
Break Up Song,Little Mix,2022-04-15
Sweet Melody,Little Mix,2022-04-15
Power (feat. Stormzy),Little Mix,2022-04-15
Love (Sweet Love),Little Mix,2022-04-15
No,Little Mix,2022-04-15
PONYTAIL,TWICE,2022-04-15
1 TO 10,TWICE,2022-04-15
PIT-A-PAT,TWICE,2022-04-15
JELLY JELLY,TWICE,2022-04-15
BOOMBAYAH,BLACKPINK,2022-04-15
NEXT PAGE,TWICE,2022-04-15
I am YOU,Stray Kids,2022-04-15
HWAA,(G)I-DLE,2022-04-15
AYA,MAMAMOO,2022-04-15
Wind Flower,MAMAMOO,2022-04-15
Yes I Am,MAMAMOO,2022-04-15
Décalcomanie,MAMAMOO,2022-04-15
You’re the Best,MAMAMOO,2022-04-15
Shake It,Loona,2022-04-22
DM,fromis_9,2022-04-22
Step Back,GOT the beat,2022-04-22
Glass Shoes,fromis_9,2022-04-22
Feel Good (SECRET CODE),fromis_9,2022-04-22
Haven,Stray Kids,2022-04-22
MAISON,Dreamcatcher,2022-04-22
นิทานพันดาว - เพลงประกอบซีรีส์ นิทานพันดาว,Gun Napat,2022-04-22
Three Times a Day,TWICE,2022-04-29
HOLD ME TIGHT,TWICE,2022-04-29
SEE U LATER,BLACKPINK,2022-04-29
REALLY,BLACKPINK,2022-04-29
DDU-DU DDU-DU,BLACKPINK,2022-04-29
Duck Duck Goose,cupcakKe,2022-04-29
Gorilla,Bruno Mars,2022-04-29
Roses,The Chainsmokers,2022-04-29
WILDSIDE,Red Velvet,2022-04-29
This Love (Taylor’s Version),Taylor Swift,2022-05-06
FEARLESS,LE SSERAFIM,2022-05-06
Only The Young - Featured in Miss Americana,Taylor Swift,2022-05-13
Teddy Bear,Melanie Martinez,2022-05-13
Mad Hatter,Melanie Martinez,2022-05-13
Play Date,Melanie Martinez,2022-05-13
Soap,Melanie Martinez,2022-05-13
Can you stay,Coldin,2022-05-20
Romantic Devil,Coldin,2022-05-20
Semantic Error,Baek Seung Beum,2022-05-20
Rain 51db,LOOΠΔ 1/3,2022-05-20
Error! Error!,Jo Seong Been,2022-05-20
Steal a Kiss,Jo Seong Been,2022-05-20
Hello World,Baek Seung Beum,2022-05-20
Melancholy,Jo Seong Been,2022-05-20
러시안 룰렛 Russian Roulette,Red Velvet,2022-05-20
Rainbow Halo,Red Velvet,2022-05-20
Valentine Girl,LOOΠΔ 1/3,2022-05-20
Love & Evil,LOOΠΔ 1/3,2022-05-20
ELEVEN,IVE,2022-05-27
Material Girl,Saucy Santana,2022-05-27
Placebo,Stray Kids,2022-05-27
Pose,Red Velvet,2022-06-03
Hey Gabby!,NMIXX,2022-06-03
LOVE DIVE,IVE,2022-06-03
POSE,Loona,2022-06-03
Sour Grapes,LE SSERAFIM,2022-06-03
Just be yourself,TWICE,2022-06-03
The Great Mermaid,LE SSERAFIM,2022-06-03
Blue Flame,LE SSERAFIM,2022-06-03
The World Is My Oyster,LE SSERAFIM,2022-06-03
Sunrise,GFRIEND,2022-06-03
SO BAD,STAYC,2022-06-03
Another Dream - Kep1er Version,Kep1er,2022-06-03
Dreams Come True,aespa,2022-06-03
Breakaway,Avril Lavigne,2022-06-10
As It Was,Harry Styles,2022-06-10
Lunchbox Friends,Melanie Martinez,2022-06-10
Vanilla,LIGHTSUM,2022-06-17
ROYAL,IVE,2022-06-17
CLASSY,CLASS:y,2022-06-17
Kick It,BLACKPINK,2022-06-17
Pon Mi,Shenseea,2022-06-17
Take It,IVE,2022-06-17
#Cookie Jar,Red Velvet,2022-06-17
BEcause,Dreamcatcher,2022-06-17
Flip That,Loona,2022-06-24
Pale Blue Dot,Loona,2022-06-24
Need U,Loona,2022-06-24
The Journey,Loona,2022-06-24
Up!,Kep1er,2022-06-24
Carolina - From the Motion Picture “Where the Crawdads Sing”,Taylor Swift,2022-06-24
YEPPI YEPPI,aespa,2022-06-24
Carolina - Where the Crawdads Sing - Video Edition,Taylor Swift,2022-06-24
SHUT DOWN,CLASS:y,2022-07-01
POP!,NAYEON,2022-07-01
Playback,Loona,2022-07-01
SUNSET,NAYEON,2022-07-01
HAPPY BIRTHDAY TO YOU,NAYEON,2022-07-01
ALL OR NOTHING,NAYEON,2022-07-01
CANDYFLOSS,NAYEON,2022-07-01
LOVE COUNTDOWN (feat. Wonstein),NAYEON,2022-07-01
NO PROBLEM (feat. Felix of Stray Kids),NAYEON,2022-07-01
Kick,f(x),2022-07-01
첫 사랑니 (Rum Pum Pum Pum),f(x),2022-07-01
I'll Make You Cry,aespa,2022-07-01
ICONIC,aespa,2022-07-01
aenergy,aespa,2022-07-01
Awkward Silence,Stray Kids,2022-07-08
Voices,Stray Kids,2022-07-08
Levanter,Stray Kids,2022-07-08
TMT,Stray Kids,2022-07-08
19,Stray Kids,2022-07-08
Chronosaurus,Stray Kids,2022-07-08
BOXER,Stray Kids,2022-07-08
M.I.A.,Stray Kids,2022-07-08
Question,Stray Kids,2022-07-08
Grow Up,Stray Kids,2022-07-08
YAYAYA,Stray Kids,2022-07-08
Spread My Wings,Stray Kids,2022-07-08
Beware,Stray Kids,2022-07-08
LA Devotee,Panic! at the Disco,2022-07-15
Impossible Year,Panic! at the Disco,2022-07-15
House of Memories,Panic! at the Disco,2022-07-15
The Good the Bad and the Dirty,Panic! at the Disco,2022-07-15
Golden Days,Panic! at the Disco,2022-07-15
Crazy = Genius,Panic! at the Disco,2022-07-15
Death of a Bachelor,Panic! at the Disco,2022-07-15
Hallelujah,Panic! at the Disco,2022-07-15
SNEAKERS,ITZY,2022-07-15
Girls,aespa,2022-07-15
I Loved You,DAY6,2022-07-15
Back to December - Acoustic,Taylor Swift,2022-07-15
Highway Don't Care,Tim McGraw,2022-07-15
Jar of Hearts,Christina Perri,2022-07-15
Almost Is Never Enough (feat. Nathan Sykes),Ariana Grande,2022-07-15
Uptown Girl,Westlife,2022-07-22
Tubthumping,Chumbawamba,2022-07-22
Keep on Movin',Five,2022-07-22
Unwell,Matchbox Twenty,2022-07-22
Brooklyn Baby,Lana Del Rey,2022-07-22
IT'z SUMMER,ITZY,2022-07-22
Born to Die,Lana Del Rey,2022-07-22
Hey Ya!,OutKast,2022-07-22
My Love,Westlife,2022-07-22
Uptown Girl,Billy Joel,2022-07-22
Lust for Life (with The Weeknd),Lana Del Rey,2022-07-22
It Ain't Me (with Selena Gomez),Kygo,2022-07-29
Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake,2022-07-29
Back to You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,2022-07-29
Maniac,MAX CHANGMIN,2022-08-05
Illusion,aespa,2022-08-05
Hello,Joy,2022-08-05
FOREVER 1,Girls' Generation,2022-08-05
Hello Sunset,Red Velvet,2022-08-05
Pushin' N Pullin',Red Velvet,2022-08-05
Better Be,Red Velvet,2022-08-05
Knock On Wood,Red Velvet,2022-08-05
MVSK,Kep1er,2022-08-05
Life's Too Short (English Version),aespa,2022-08-05
SOLO,Jennie,2022-08-05
LE VOYA9E,Kep1er,2022-08-12
I FLY,Jihyo,2022-08-12
Dreams Come True - Instrumental,aespa,2022-08-12
Thunderous,Stray Kids,2022-08-12
MANIAC,Stray Kids,2022-08-12
Ghosting,TOMORROW X TOGETHER,2022-08-19
libidO,OnlyOneOf,2022-08-19
Villain,Girls' Generation,2022-08-19
Easy,WJSN THE BLACK,2022-08-19
Super Freaky Girl,Nicki Minaj,2022-08-19
All Night,Girls' Generation,2022-08-19
Pink Venom,BLACKPINK,2022-08-19
Naughty,Red Velvet - IRENE & SEULGI,2022-08-19
Squidward Nose,cupcakKe,2022-08-19
MY BAG,(G)I-DLE,2022-08-19
HUMBLE.,Kendrick Lamar,2022-08-19
Pon de Replay,Rihanna,2022-08-19
Lemon,N.E.R.D,2022-08-19
My Oh My,Girls' Generation,2022-08-19
DIVINE,Girls' Generation,2022-08-19
Way To Go,소녀시대,2022-08-19
Snowy Wish,소녀시대,2022-08-19
BAD GIRL,Girls' Generation,2022-08-19
Etude,소녀시대,2022-08-19
BEEP BEEP,Girls' Generation,2022-08-19
LOVE&GIRLS,소녀시대,2022-08-19
Flower Power,Girls' Generation,2022-08-19
PAPARAZZI,Girls' Generation,2022-08-19
Fire Alarm,Girls' Generation,2022-08-19
Hoot,소녀시대,2022-08-19
My Satisfaction,IVE,2022-08-26
After LIKE,IVE,2022-08-26
Talk that Talk,TWICE,2022-08-26
When We Were Kids,TWICE,2022-08-26
Gone,TWICE,2022-08-26
Brave,TWICE,2022-08-26
Trouble,TWICE,2022-08-26
Basics,TWICE,2022-08-26
Queen of Hearts,TWICE,2022-08-26
Death By A Thousand Cocks,Taylor Swift CupcakKe,2022-08-26
Pick Me,I.O.I,2022-08-26
Crowded Room (feat. 6LACK),Selena Gomez,2022-08-26
AUGHgust,Taylor Swift CupcakKe,2022-08-26
#Beautiful,Mariah Carey,2022-08-26
Hype Boy,NewJeans,2022-09-02
Attention,NewJeans,2022-09-02
AMERICA HAS A PROBLEM,Beyoncé,2022-09-02
CHURCH GIRL,Beyoncé,2022-09-02
ENERGY (feat. BEAM),Beyoncé,2022-09-02
CUFF IT,Beyoncé,2022-09-02
Lucid Dream,aespa,2022-09-02
SUMMER RENAISSANCE,Beyoncé,2022-09-02
PURE/HONEY,Beyoncé,2022-09-02
ALL UP IN YOUR MIND,Beyoncé,2022-09-02
THIQUE,Beyoncé,2022-09-02
Pirate,Everglow,2022-09-09
Hurt,NewJeans,2022-09-09
Cookie,NewJeans,2022-09-09
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,2022-09-09
HEATED,Beyoncé,2022-09-09
MOVE (feat. Grace Jones & Tems),Beyoncé,2022-09-09
VIRGO'S GROOVE,Beyoncé,2022-09-09
PLASTIC OFF THE SOFA,Beyoncé,2022-09-09
BREAK MY SOUL,Beyoncé,2022-09-09
ALIEN SUPERSTAR,Beyoncé,2022-09-09
I'M THAT GIRL,Beyoncé,2022-09-09
Ready For Love,BLACKPINK,2022-09-16
Tally,BLACKPINK,2022-09-16
The Happiest Girl,BLACKPINK,2022-09-16
Hard To Love,BLACKPINK,2022-09-16
Yeah Yeah Yeah,BLACKPINK,2022-09-16
Typa Girl,BLACKPINK,2022-09-16
Shut Down,BLACKPINK,2022-09-16
Don't Mine At Night - Minecraft Parody,Brad Knauber,2022-09-16
Fallen Kingdom,CaptainSparklez,2022-09-16
I Am Believing,CraftBattleDuty,2022-09-16
Cooking By The Book (FromLazy Town),Geek Music,2022-09-16
Yakko's World,Animaniacs,2022-09-16
Sandcastle,TWICE,2022-09-16
Quiz,cupcakKe,2022-09-16
Strangers,Halsey,2022-09-16
Girls Like Girls,Hayley Kiyoko,2022-09-16
DICE,NMIXX,2022-09-23
COOL (Your rainbow),NMIXX,2022-09-23
Sweeter Than Fiction - From One Chance Soundtrack,Taylor Swift,2022-09-30
Joan of Arc,Little Mix,2022-10-07
Strip (feat. Sharaya J),Little Mix,2022-10-07
Monster in Me,Little Mix,2022-10-07
Think About Us,Little Mix,2022-10-07
American Boy,Little Mix,2022-10-07
Underneath the Tree,Kelly Clarkson,2022-10-07
Told You So,Little Mix,2022-10-07
Oops (feat. Charlie Puth),Little Mix,2022-10-07
How Ya Doin'? (feat. Missy Elliott),Little Mix,2022-10-07
You Gotta Not,Little Mix,2022-10-07
DNA,Little Mix,2022-10-07
Reckless,Madison Beer,2022-10-07
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,2022-10-14
29,Demi Lovato,2022-10-14
because i liked a boy,Sabrina Carpenter,2022-10-14
Every Summertime,Niki,2022-10-14
Disaster,Conan Gray,2022-10-14
Power,Little Mix,2022-10-14
Angel Baby,Troye Sivan,2022-10-14
Would've Could've Should've,Taylor Swift,2022-10-21
Glitch,Taylor Swift,2022-10-21
High Infidelity,Taylor Swift,2022-10-21
Paris,Taylor Swift,2022-10-21
Bigger Than the Whole Sky,Taylor Swift,2022-10-21
Dear Reader,Taylor Swift,2022-10-21
The Great War,Taylor Swift,2022-10-21
ANTIFRAGILE,LE SSERAFIM,2022-10-21
Impurities,LE SSERAFIM,2022-10-21
No Celestial,LE SSERAFIM,2022-10-21
The Hydra,LE SSERAFIM,2022-10-21
Good Parts (when the quality is bad but I am),LE SSERAFIM,2022-10-21
Lavender Haze,Taylor Swift,2022-10-21
Mastermind,Taylor Swift,2022-10-21
Sweet Nothing,Taylor Swift,2022-10-21
Karma,Taylor Swift,2022-10-21
Labyrinth,Taylor Swift,2022-10-21
Bejeweled,Taylor Swift,2022-10-21
Vigilante Shit,Taylor Swift,2022-10-21
Question...?,Taylor Swift,2022-10-21
Midnight Rain,Taylor Swift,2022-10-21
You're on Your Own Kid,Taylor Swift,2022-10-21
Snow on the Beach (feat. Lana Del Rey),Taylor Swift,2022-10-21
Anti-Hero,Taylor Swift,2022-10-21
Maroon,Taylor Swift,2022-10-28
COOL (Your rainbow) - Instrumental,NMIXX,2022-11-04
DICE - Instrumental,NMIXX,2022-11-04
Made You Look,Meghan Trainor,2022-11-04
Nxde,(G)I-DLE,2022-11-11
COZY,Beyoncé,2022-11-11
Anti-Hero - ILLENIUM Remix,Taylor Swift,2022-11-18
I Smile,DAY6,2022-11-18
DALLA DALLA,ITZY,2022-11-25
Celebrate,Red Velvet,2022-12-02
ZOOM,Red Velvet,2022-12-02
On A Ride,Red Velvet,2022-12-02
BYE BYE,Red Velvet,2022-12-02
Birthday,Red Velvet,2022-12-02
LIMBO!,Nature,2022-12-02
Goodness Gracious,Ellie Goulding,2022-12-16
There for You,Martin Garrix,2022-12-16
Lush Life,Zara Larsson,2022-12-16
RING ma Bell (what a wonderful world),Billlie,2022-12-16
STUCK,TWICE,2022-12-16
Ditto,NewJeans,2022-12-23
The Loneliest Time (feat. Rufus Wainwright),Carly Rae Jepsen,2022-12-23
O Holy Night,Patti LaBelle,2022-12-23
ViViD - Acoustic Mix Version,Loona,2022-12-23
Winter Things,Ariana Grande,2022-12-23
Santa Tell Me,Ariana Grande,2022-12-23
Intro,Ariana Grande,2022-12-23
G.U.Y.,Lady Gaga,2022-12-23
I Will Survive,Gloria Gaynor,2022-12-23
Lucky Girl,Red Velvet,2022-12-23
OMG,NewJeans,2023-01-06
Kung 'Di Rin Lang Ikaw,December Avenue,2023-01-06
Ang Huling El Bimbo,Eraserheads,2023-01-06
Dark Paradise,Lana Del Rey,2023-01-06
Lando (feat. Chito Miranda),Gloc-9,2023-01-06
Himala,Rivermaya,2023-01-06
Buko,Jireh Lim,2023-01-06
Toyang,Eraserheads,2023-01-06
Elesi,Rivermaya,2023-01-06
Sumayaw Ka,Gloc-9,2023-01-06
Tindahan Ni Aling Nena,Eraserheads,2023-01-06
Luha,Aegis,2023-01-06
Halik,Aegis,2023-01-06
Pasensya Ka Na,Silent Sanctuary,2023-01-06
Magasin,Eraserheads,2023-01-06
Hinahanap-Hanap Kita,Rivermaya,2023-01-06
Upuan (feat. Jeazell Grutas),Gloc-9,2023-01-06
Dati,Tippy Dos Santos,2023-01-06
Gabay,Siakol,2023-01-06
Kalachuchi,munimuni,2023-01-06
Pangarap Lang Kita,Parokya Ni Edgar,2023-01-06
Spoliarium,Eraserheads,2023-01-06
With A Smile,Eraserheads,2023-01-06
Gusto Ko Nang Bumitaw - Band Version,Morissette,2023-01-06
Ikot-Ikot,Sarah Geronimo,2023-01-06
Tala,Sarah Geronimo,2023-01-06
Esperanza (From the soap opera Esperanza),April Boy Regino,2023-01-06
Gusto Ko Nang Bumitaw - From The Broken Marriage Vow,Morissette,2023-01-06
Gusto Ko Nang Bumitaw,Sheryn Regis,2023-01-06
Ayokong Tumanda,The Itchyworms,2023-01-06
Bibingka,Ben&Ben,2023-01-06
